,Date,ROI,GCC_90p,GCC_mean
103,2025-06-14,ROI_1,0.46474224,0.45726317
104,2025-06-14,ROI_2,0.51038766,0.49827915
105,2025-06-17,ROI_3,0.47630817,0.45881447
106,2025-06-17,ROI_1,0.48573342,0.4682247
107,2025-06-17,ROI_2,0.5113279,0.49058074
108,2025-06-20,ROI_3,0.48586065,0.46023518
109,2025-06-20,ROI_1,0.49568444,0.46727544
110,2025-06-20,ROI_2,0.5223459,0.49824578
111,2025-06-23,ROI_3,0.47582436,0.45558494
112,2025-06-23,ROI_1,0.48772404,0.46441573
113,2025-06-23,ROI_2,0.5125848,0.49006307
114,2025-06-26,ROI_3,0.47180936,0.4557312
115,2025-06-26,ROI_1,0.48449904,0.46419325
116,2025-06-26,ROI_2,0.5123073,0.49755833
117,2025-06-29,ROI_3,0.46407235,0.44690782
118,2025-06-29,ROI_1,0.47436655,0.45400003
119,2025-06-29,ROI_2,0.50520915,0.4828722
120,2025-07-02,ROI_3,0.4544745,0.44080338
121,2025-07-02,ROI_1,0.46278703,0.44442707
122,2025-07-02,ROI_2,0.49262542,0.48082492
123,2025-07-05,ROI_3,0.46345383,0.44218183
124,2025-07-05,ROI_1,0.47313276,0.44895753
125,2025-07-05,ROI_2,0.50073063,0.48002392
126,2025-07-08,ROI_3,0.46197474,0.4469368
127,2025-07-08,ROI_1,0.47285232,0.45242673
128,2025-07-08,ROI_2,0.49822956,0.48534092
129,2025-07-11,ROI_3,0.45705387,0.4449071
130,2025-07-11,ROI_1,0.46811724,0.45046484
131,2025-07-11,ROI_2,0.4977494,0.48551655
132,2025-07-14,ROI_3,0.4488768,0.4367126
133,2025-07-14,ROI_1,0.45175615,0.43782952
134,2025-07-14,ROI_2,0.49497628,0.48135903
135,2025-07-17,ROI_3,0.43764183,0.42794114
136,2025-07-17,ROI_1,0.43607455,0.42782402
137,2025-07-17,ROI_2,0.48724297,0.47275415
138,2025-07-20,ROI_3,0.45269483,0.43236405
139,2025-07-20,ROI_1,0.45846355,0.4347059
140,2025-07-20,ROI_2,0.49512553,0.47567773
