,Date,ROI,GCC_90p,GCC_mean
103,2025-05-25,ROI_1,0.4381948,0.41482797
104,2025-05-28,ROI_4,0.38333902,0.37984756
105,2025-05-28,ROI_3,0.3636085,0.3508014
106,2025-05-28,ROI_2,0.3706577,0.36709002
107,2025-05-28,ROI_1,0.45600462,0.43409616
108,2025-05-31,ROI_4,0.40029696,0.39158368
109,2025-05-31,ROI_3,0.38222748,0.35877252
110,2025-05-31,ROI_2,0.37928858,0.37463856
111,2025-05-31,ROI_1,0.4741452,0.45688134
112,2025-06-03,ROI_4,0.40164804,0.39278015
113,2025-06-03,ROI_3,0.3759048,0.3622143
114,2025-06-03,ROI_2,0.38191774,0.37642828
115,2025-06-03,ROI_1,0.48819774,0.454485
116,2025-06-06,ROI_4,0.39734694,0.38814873
117,2025-06-06,ROI_3,0.37239832,0.35827747
118,2025-06-06,ROI_2,0.38040826,0.37474406
119,2025-06-06,ROI_1,0.46737605,0.4443093
120,2025-06-09,ROI_4,0.39688623,0.3887167
121,2025-06-09,ROI_3,0.36507553,0.35580328
122,2025-06-09,ROI_2,0.37896746,0.37471795
123,2025-06-09,ROI_1,0.46230373,0.4405941
124,2025-06-12,ROI_4,0.40684032,0.3942585
125,2025-06-12,ROI_3,0.3636498,0.35772875
126,2025-06-12,ROI_2,0.38840067,0.3774983
127,2025-06-12,ROI_1,0.48790434,0.45700428
128,2025-06-15,ROI_4,0.39982688,0.39023128
129,2025-06-15,ROI_3,0.37518635,0.3545298
130,2025-06-15,ROI_2,0.38084581,0.37526527
131,2025-06-15,ROI_1,0.45676544,0.43771362
132,2025-06-18,ROI_4,0.3828908,0.37965453
133,2025-06-18,ROI_3,0.34951848,0.34683344
134,2025-06-18,ROI_2,0.3716076,0.3686936
135,2025-06-18,ROI_1,0.44092473,0.42942262
136,2025-06-21,ROI_4,0.3940401,0.38487276
137,2025-06-21,ROI_3,0.37425485,0.35784522
138,2025-06-21,ROI_2,0.37915194,0.37094697
139,2025-06-21,ROI_1,0.45608705,0.43752876
140,2025-06-24,ROI_4,0.3777002,0.37565503
141,2025-06-24,ROI_3,0.3491874,0.3465577
142,2025-06-24,ROI_2,0.36755112,0.3647168
143,2025-06-24,ROI_1,0.41951257,0.4132001
144,2025-06-27,ROI_4,0.38758543,0.38190952
145,2025-06-27,ROI_3,0.36144596,0.3529636
146,2025-06-27,ROI_2,0.37277755,0.36828747
147,2025-06-27,ROI_1,0.4401151,0.42583776
148,2025-06-30,ROI_4,0.40277475,0.38754585
149,2025-06-30,ROI_3,0.3667922,0.35391745
150,2025-06-30,ROI_2,0.38062447,0.37253547
151,2025-06-30,ROI_1,0.46159285,0.4392832
152,2025-07-03,ROI_4,0.3885487,0.37796953
153,2025-07-03,ROI_3,0.37354162,0.35298246
154,2025-07-03,ROI_2,0.3709183,0.36595568
155,2025-07-03,ROI_1,0.43951935,0.41468534
156,2025-07-06,ROI_4,0.38379008,0.37874874
157,2025-07-06,ROI_3,0.3530538,0.34702462
158,2025-07-06,ROI_2,0.36727482,0.36458293
159,2025-07-06,ROI_1,0.43100822,0.41641822
160,2025-07-09,ROI_4,0.38732445,0.37751663
161,2025-07-09,ROI_3,0.36851227,0.3507536
162,2025-07-09,ROI_2,0.3705505,0.3651343
163,2025-07-09,ROI_1,0.4379207,0.41332442
164,2025-07-12,ROI_4,0.38226363,0.3748076
165,2025-07-12,ROI_3,0.35817125,0.3472788
166,2025-07-12,ROI_2,0.36913323,0.3629341
