Alue,Kaikki koulutusasteet,Tutkinnon suorittaneita yhteensä,Keskiaste,Alin korkea- ja alempi korkeakouluaste,Ylempi korkeakouluaste ja tutkijakoulutus,Perusaste tai tuntematon
091 440 Tammisalo,1832,1493,394,443,656,339
091 480 Vartiosaari,..,..,..,..,..,..
091 491 Yliskylä,10620,8088,3555,2548,1985,2532
091 492 Jollas,2431,1903,636,552,715,528
091 493 Tullisaari,1025,862,370,292,200,163
091 494 Kruunuvuorenranta,851,701,255,231,215,150
091 495 Hevossalmi,1306,997,385,297,315,309
091 500 Villinki,..,..,..,..,..,..
091 510 Santahamina,278,259,98,81,80,19
091 532 Itäsaaret,..,..,..,..,..,..
091 451 Vartioharju,5028,3822,1706,1185,931,1206
091 452 Puotila,4220,2883,1433,864,586,1337
091 453 Puotinharju,3723,2393,1348,627,418,1330
091 455 Marjaniemi,1692,1324,380,417,527,368
091 456 Roihupelto,..,..,..,..,..,..
091 457 Itäkeskus,4044,2459,1442,639,378,1585
091 454 Myllypuro,10366,6939,3714,1916,1309,3427
091 471 Kontula,11985,6689,4280,1669,740,5296
091 472 Vesala,6215,4007,2457,1031,519,2208
091 473 Mellunmäki,7561,4997,3036,1386,575,2564
091 474 Kivikko,4193,2649,1615,699,335,1544
091 475 Kurkimäki,2675,1701,1046,426,229,974
091 541 Keski-Vuosaari,11901,8063,4428,2389,1246,3838
091 542 Nordsjön kartano,..,..,..,..,..,..
091 543 Uutela,..,..,..,..,..,..
091 544 Meri-Rastila,4427,2883,1567,782,534,1544
091 545 Kallahti,5383,3320,1924,893,503,2063
091 546 Aurinkolahti,6775,5188,2141,1730,1317,1587
091 547 Rastila,3920,2856,1345,902,609,1064
091 548 Niinisaari,..,..,..,..,..,..
091 549 Mustavuori,..,..,..,..,..,..
091 550 Östersundom,416,292,135,90,67,124
091 560 Salmenkallio,..,..,..,..,..,..
091 570 Talosaari,..,..,..,..,..,..
091 580 Karhusaari,336,277,89,81,107,59
091 591 Landbo,623,467,169,161,137,156
091 592 Puroniitty,141,98,50,28,20,43
091 999 Muut,13918,7176,4275,1531,1370,6742
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
